benchmark,category,advanced_status,advanced_error,shallow_status,shallow_error,untyped_status,untyped_error
Benchmarks_Recreate_Paper_Results,missing_variants,missing,missing advanced/main.py,missing,missing shallow/main.py,missing,missing untyped/main.py
call_method,all_green,ok,,ok,,ok,
call_method_slots,all_green,ok,,ok,,ok,
call_simple,all_green,ok,,ok,,ok,
chaos,all_green,ok,,ok,,ok,
deltablue,shallow_and_untyped_failures,ok,,failed,"artifact main_0x4bef050c3 failed (exit 137):
JIT: Jit/jit_list.cpp:41 -- Jit-list file: /jitlist_main.txt",failed,"artifact main failed (exit 1):
Traceback (most recent call last):
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/types.py"", line 8224, in _generic_bind
    ret_types.append(callback(el, result_types))
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/types.py"", line 8236, in cb
    el.instance.bind_attr(node, visitor, type_ctx)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/types.py"", line 2438, in bind_attr
    visitor.syntax_error(f""'NoneType' object has no attribute '{node.attr}'"", node)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/visitor.py"", line 74, in syntax_error
    return self.error_sink.syntax_error(msg, self.filename, node)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/errors.py"", line 52, in syntax_error
    self.error(TypedSyntaxError(msg, (filename, lineno, offset, source_line)))
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/errors.py"", line 48, in error
    raise exception
  File ""static-python-perf/Benchmark/deltablue/untyped/main.py"", line 593
    first.value = i
cinderx.compiler.errors.TypedSyntaxError: 'NoneType' object has no attribute 'value'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/cinder/Lib/runpy.py"", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File ""/cinder/Lib/runpy.py"", line 86, in _run_code
    exec(code, run_globals)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/__main__.py"", line 82, in <module>
    codeobj = pycodegen.compile(
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/pycodegen.py"", line 131, in compile
    result = make_compiler(source, filename, mode, flags, optimize, compiler, modname)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/pycodegen.py"", line 172, in make_compiler
    return generator.make_code_gen(
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/__init__.py"", line 301, in make_code_gen
    code_gen = compiler.code_gen(
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/compiler.py"", line 535, in code_gen
    tree, s = self._bind(name, filename, tree, optimize, enable_patching)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/compiler.py"", line 509, in _bind
    type_binder.visit(tree)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 394, in visit
    ret = super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/visitor.py"", line 71, in visit
    return super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/visitor.py"", line 70, in visit
    return meth(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 458, in visitModule
    self.visit(stmt)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 394, in visit
    ret = super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/visitor.py"", line 71, in visit
    return super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/visitor.py"", line 70, in visit
    return meth(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 628, in visitFunctionDef
    self._visitFunc(node)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 616, in _visitFunc
    func.bind_function(node, self)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/types.py"", line 3136, in bind_function
    terminates = visitor.visit_check_terminal(self.get_function_body())
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 1787, in visit_check_terminal
    self.visit(stmt)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 394, in visit
    ret = super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/visitor.py"", line 71, in visit
    return super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/visitor.py"", line 70, in visit
    return meth(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 1970, in visitWhile
    terminal_level = self.visit_check_terminal(node.body)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 1787, in visit_check_terminal
    self.visit(stmt)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 394, in visit
    ret = super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/visitor.py"", line 71, in visit
    return super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/visitor.py"", line 70, in visit
    return meth(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 859, in visitAssign
    self.visit(target)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 394, in visit
    ret = super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/visitor.py"", line 71, in visit
    return super().visit(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/visitor.py"", line 70, in visit
    return meth(node, *args)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/type_binder.py"", line 1522, in visitAttribute
    base.bind_attr(node, self, type_ctx)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/types.py"", line 8239, in bind_attr
    self._generic_bind(node, cb, ""access attribute from"", visitor, type_ctx)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/types.py"", line 8226, in _generic_bind
    visitor.syntax_error(f""{self.name}: {e.msg}"", node)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/static/visitor.py"", line 74, in syntax_error
    return self.error_sink.syntax_error(msg, self.filename, node)
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/errors.py"", line 52, in syntax_error
    self.error(TypedSyntaxError(msg, (filename, lineno, offset, source_line)))
  File ""/cinder/cinderx/PythonLib/cinderx/compiler/errors.py"", line 48, in error
    raise exception
  File ""static-python-perf/Benchmark/deltablue/untyped/main.py"", line 593
    first.value = i
cinderx.compiler.errors.TypedSyntaxError: Optional[__main__.Variable]: 'NoneType' object has no attribute 'value'"
django,missing_variants,missing,missing advanced/main.py,missing,missing shallow/main.py,missing,missing untyped/main.py
django_sample,missing_variants,missing,missing advanced/main.py,missing,missing shallow/main.py,missing,missing untyped/main.py
espionage,advanced_and_shallow_and_untyped_failures,failed,"artifact main_0x0 failed (exit 1):
JIT: Jit/jit_list.cpp:41 -- Jit-list file: /jitlist_main.txt
Traceback (most recent call last):
  File ""/app/.bench-status-a3vpno6d/espionage/advanced/main_0x0.py"", line 3, in <module>
    from union_find import UnionFind
ModuleNotFoundError: No module named 'union_find'",failed,"artifact main_0x0 failed (exit 1):
JIT: Jit/jit_list.cpp:41 -- Jit-list file: /jitlist_main.txt
Traceback (most recent call last):
  File ""/app/.bench-status-a3vpno6d/espionage/shallow/main_0x0.py"", line 3, in <module>
    from union_find import UnionFind
ModuleNotFoundError: No module named 'union_find'",failed,"artifact main failed (exit 1):
JIT: Jit/jit_list.cpp:41 -- Jit-list file: /jitlist_main.txt
Traceback (most recent call last):
  File ""/app/static-python-perf/Benchmark/espionage/untyped/main.py"", line 82, in <module>
    with open(fname, ""r"") as f:
FileNotFoundError: [Errno 2] No such file or directory: '../us-input.txt'"
evolution,advanced_and_shallow_failures,failed,"artifact main_0x0 failed (exit 1):
JIT: Jit/jit_list.cpp:41 -- Jit-list file: /jitlist_main.txt
Traceback (most recent call last):
  File ""/app/.bench-status-a3vpno6d/evolution/advanced/main_0x0.py"", line 2, in <module>
    from evolution.player.player import Player
ModuleNotFoundError: No module named 'evolution'",failed,"artifact main_0x0 failed (exit 1):
JIT: Jit/jit_list.cpp:41 -- Jit-list file: /jitlist_main.txt
Traceback (most recent call last):
  File ""/app/.bench-status-a3vpno6d/evolution/shallow/main_0x0.py"", line 2, in <module>
    from evolution.player.player import Player
ModuleNotFoundError: No module named 'evolution'",ok,
